Points_0,Points_1,Points_2,U_0,U_1,U_2,p
0.5,0,0.05,0,0,0,-0.00599543
0.5,0.02,0.05,-0.142449,0.00215642,0,-0.00617367
0.5,0.04,0.05,-0.239535,0.00192568,0,-0.00729173
0.5,0.06,0.05,-0.314025,0.000302282,0,-0.0100689
0.5,0.08,0.05,-0.367752,-0.000411563,0,-0.0148301
0.5,0.1,0.05,-0.392399,-0.00027618,0,-0.0212205
0.5,0.12,0.05,-0.386267,3.12245e-05,0,-0.0284192
0.5,0.14,0.05,-0.362542,5.07735e-05,0,-0.0354821
0.5,0.16,0.05,-0.333803,-0.00019599,0,-0.0419504
0.5,0.18,0.05,-0.308099,-0.000434507,0,-0.0477832
0.5,0.2,0.05,-0.287235,-0.000449977,0,-0.0531398
0.5,0.5,0.05,-0.0481841,0.0193644,0,-0.104912
0.5,0.9,0.05,0.373729,0.0304331,0,-0.0608877
0.5,0.91,0.05,0.383824,0.0292754,0,-0.0594332
0.5,0.92,0.05,0.39232,0.0279207,0,-0.0580838
0.5,0.93,0.05,0.398943,0.0263248,0,-0.0568616
0.5,0.94,0.05,0.404044,0.024403,0,-0.0557874
0.5,0.95,0.05,0.409878,0.0219747,0,-0.0548759
0.5,0.96,0.05,0.42671,0.0185207,0,-0.0541512
0.5,0.97,0.05,0.473653,0.0137544,0,-0.0535694
0.5,0.98,0.05,0.578509,0.00792086,0,-0.0530977
0.5,0.99,0.05,0.760994,0.00262894,0,-0.0527236
0.5,1,0.05,1,0,0,-0.0525461
