Point ID,U_0,U_1,U_2,p
0,0,0,0,-0.00281691
1,-0.102277,0.00732032,0,-0.00320701
2,-0.182858,0.0124708,0,-0.00406915
3,-0.235542,0.0148314,0,-0.00553821
4,-0.26583,0.015969,0,-0.0081895
5,-0.286726,0.0167943,0,-0.0113469
6,-0.293996,0.017317,0,-0.0152461
7,-0.28858,0.0176558,0,-0.0194198
8,-0.277353,0.0178467,0,-0.0236282
9,-0.259268,0.0176624,0,-0.0275914
10,-0.240999,0.0171773,0,-0.0312496
11,-0.0274981,0.0218058,0,-0.0594321
12,0.290331,0.0323226,0,-0.0357355
13,0.296294,0.0311272,0,-0.0348504
14,0.300093,0.029472,0,-0.0341002
15,0.303891,0.0278168,0,-0.03335
16,0.316926,0.0256334,0,-0.0326791
17,0.35767,0.0218652,0,-0.0322462
18,0.398414,0.018097,0,-0.0318134
19,0.456703,0.0142078,0,-0.0314182
20,0.637802,0.00947187,0,-0.0312868
21,0.818901,0.00473593,0,-0.0311554
22,1,0,0,-0.031024
