"x_values","y_values","z_values"

0.5000,0.0000,0.0500
0.5000,0.0200,0.0500
0.5000,0.0400,0.0500
0.5000,0.0600,0.0500
0.5000,0.0800,0.0500
0.5000,0.1000,0.0500
0.5000,0.1200,0.0500
0.5000,0.1400,0.0500
0.5000,0.1600,0.0500
0.5000,0.1800,0.0500
0.5000,0.2000,0.0500
0.5000,0.5000,0.0500
0.5000,0.9000,0.0500
0.5000,0.9100,0.0500
0.5000,0.9200,0.0500
0.5000,0.9300,0.0500
0.5000,0.9400,0.0500
0.5000,0.9500,0.0500
0.5000,0.9600,0.0500
0.5000,0.9700,0.0500
0.5000,0.9800,0.0500
0.5000,0.9900,0.0500
0.5000,1.0000,0.0500
